Inspection ID	DBA Name	AKA Name	License #	Facility Type	Risk	Address	City	State	Zip	Inspection Date	Inspection Type	Results	Violations	Latitude	Longitude	Location
2609909	HAPPY MARKET	HAPPY MARKET	2912802.0	Grocery Store	Risk 2 (Medium)	2334 S WENTWORTH AVE	CHICAGO	IL	60616.0	2025-01-02	Canvass	Pass w/ Conditions	2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: UPON ARRIVAL, OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON SITE WHILE OPEN AND OPERATING. INSTRUCTED A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE ON SITE AT ALL TIMES WHILE OPEN AND OPERATING.  PRIORITY FOUNDATION VIOLATION 7-38-012, CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14: OBSERVED NO HANDWASHING SIGNS AT EXPOSED HANDSINK IN THE BASEMENT OR IN EMPLOYEE WASHROOM; INSTRUCTED TO PROVIDE. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-501.112: OBSERVED DEAD ROACHES INSIDE THE MOP SINK BASIN IN THE BUTCHER AREA, STICKY TRAPS IN BASEMENT FLOORS, ON THE WALL NEAR THE HOOD IN THE BASEMENT PREP AREA. INSTRUCTED TO REMOVE DEAD ROACHES AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED SHELF UNDER FOOD PREP TABLE BEHIND BUTCHER AREA WITH RUST. ALSO, OBSERVED DEBRIS ON THE SHELVES IN THE SHOPPING AISLES. INSTRUCTED TO REMOVE RUST AND DEBRIS AND MAKE SURFACE SMOOTH AND EASILY CLEANABLE.	41.84995400192252	-87.63209419559098	(41.84995400192252, -87.63209419559098)
2609927	SAT KAIVAL FOOD INC/SUBWAY	SAT KAIVAL FOOD INC/SUBWAY	2728400.0	Restaurant	Risk 1 (High)	1916 S STATE ST	CHICAGO	IL	60616.0	2025-01-02	Canvass	Pass	36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO AMBIENT AIR THERMOMETER INSIDE THE COLD HOLDING UNITS ON SITE. INSTRUCTED TO PROVIDE AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED THE TOILET SEAT AND TOILET FIXTURES IN THE WOMEN'S TOILET ROOM IN NEED OF CLEANING. DRIED BODILY FLUID OBSERVED ON THE MENTIONED FIXTURES. INSTRUCTED TO CLEAN AND MAINTAIN.	41.85605269621059	-87.62731125804903	(41.85605269621059, -87.62731125804903)
2610482	DANCEN GRILL RESTAURANT, INC.	DANCEN	2341747.0	Restaurant	Risk 1 (High)	5114 N LINCOLN AVE	CHICAGO	IL	60625.0	2025-01-14	Non-Inspection	No Entry		41.97452873707269	-87.69233925845519	(41.97452873707269, -87.69233925845519)
2610081	MARYS TAQUERIA AND GROCERY STORE, INC.	MARYS FOOD AND GROCERY STORE	2326530.0	Restaurant	Risk 1 (High)	1901 S CANALPORT AVE	CHICAGO	IL	60616.0	2025-01-06	Canvass	Pass	10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SIGNAGE AT THE HANDWASHING SINK NEAR THE THREE COMPARTMENT SINK IN THE REAR. INSTRUCTED TO PROVIDE AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED THE LOWER SHELVES UNDER THE FOOD PREP TABLES IN THE REAR FOOD PREP AREA WITH SLIGHT DEBRIS. INSTRUCTED TO REMOVE DEBRIS AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACKFLOW PREVENTION DEVICE ON THE ICE MACHINE IN THE REAR FOOD PREP AREA. INSTRUCTED TO INSTALL AN ADEQUATE BACKFLOW PREVENTION DEVICE ON THE ICE MACHINE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO LID FOR GARBAGE RECEPTACLE IN GENDER NEUTRAL TOILET ROOMS. INSTRUCTED TO PROVIDE FOR DISPOSAL OF FEMININE PRODUCTS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FOLLOWING IN NEED OF CLEANING: THE CREVICES OF THE WALLBASES THROUGHOUT REAR FOOD PREP AREA ESPECIALLY UNDER THE HOT HOLDING EQUIPMENT, THE FLOOR INSIDE THE WALK-IN COOLER, WALLS UNDER THE THREE COMPARTMENT SINK AND ON THE SIDE OF THE HOT HOLDING EQUIPMENT. INSTRUCTED TO CLEAN AND MAINTAIN.	41.85666310572283	-87.64178573004398	(41.85666310572283, -87.64178573004398)
2610172	KOTO	KOTO	2872350.0	Restaurant	Risk 1 (High)	258 W 31ST ST	CHICAGO	IL	60616.0	2025-01-07	Canvass	Pass	10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED TOILET ROOM CLOSEST TO DINING AREA HANDWASHING SINK NOT ABLE TO RUN WATER WITHOUT LETTING GO OF MIXED WATER KNOB.INSTRUCTED TO REPAIR AND ENSURE SINK CAN RUN ATLEAST 15 SECONDS WITHOUT REACTIVATING WATER AND BEING ABLE ADEQUATELY WASH BOTH HANDS. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED EMPLOYEE LOCKER ROOM WITH A TOILET AND HANDWASHING SINK WITH A DOOR THAT IS NOT SELF CLOSING. INSTRUCTED TO REPAIR AND MAINTAIN.	41.83831568602238	-87.6340451596087	(41.83831568602238, -87.6340451596087)
2610336	SHARKS FISH-CHICKEN	SHARKS FISH-CHICKEN	2079668.0	Restaurant	Risk 2 (Medium)	250-252 E 35TH ST	CHICAGO	IL	60616.0	2025-01-10	Canvass	Out of Business		41.83118740469644	-87.61978768516512	(41.831187404696436, -87.61978768516512)
2611120	Big Hill Cantina	Big Hill Bar & Grill	1678004.0	Restaurant	Risk 1 (High)	3307 W BRYN MAWR AVE	CHICAGO	IL	60659.0	2025-01-27	Non-Inspection	No Entry		41.98292524798696	-87.71161308569827	(41.982925247986955, -87.71161308569827)
2610622	JEWEL-OSCO #3181	JEWEL-OSCO	2977880.0	Grocery Store	Risk 3 (Low)	87 W 87TH ST	CHICAGO	IL	60620.0	2025-01-15	Canvass	Out of Business		41.7361451282369	-87.62691784397349	(41.7361451282369, -87.62691784397349)
2610361	MOMENTUM COFFEE	MOMENTUM COFFEE	2708683.0	Restaurant	Risk 1 (High)	2119 S STATE ST	CHICAGO	IL	60616.0	2025-01-13	Canvass	Pass w/ Conditions	22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED IMPROPER COLD HOLDING TEMPERATURES OF TCS FOODS STORED INSIDE THE REFRIGERATOR AT THE FRONT PREP/SERVICE AREA. 10 CARTONS OF HEAVY WHIPPING CREAM FOUND AT 56.8F-60.0F AND CHEDDAR CHEESE FOUND AT 50.6F. MANAGER DISCARDED APPROXIMATELY 14LBS AT $100 WORTH OF PRODUCT. MUST HAVE COLD HOLDING FOODS AT 41.0F OR BELOW.  PRIORITY 7-38-005, CITATION ISSUED | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: OBSERVED AN IMPROPER TEMPERATURE OF A REFRIGERATOR AT 50.9F WITH TCS FOODS STORED INSIDE FOR SALE. A HELD FOR INSPECTION TAG PLACED ON THE UNIT. ONCE REPAIRED, PLEASE REVIEW COMMENTS FOR TAG REMOVAL. MUST HAVE COLD HOLDING UNITS AT 41.0F OR BELOW.  PRIORITY 7-38-005, CITATION ISSUSED | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE FRONT ENTRANCE DOOR SWEEP SLIGHTLY DAMAGED AT THE BOTTOM THE RIGHT SIDE OF THE DOOR. INSTRUCTED TO REPAIR AND MAINTAN. | 44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: OBSERVED CLEAR FOOD STORAGE CONTAINERS NOT INVERTED ON THE LOWER SHELF NEXT TO THE THREE COMPARTMENT SINK. INSTRUCTED TO INVERT AND MAINTAIN. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED THE MANAGER ON SITE WITH NO ALLERGEN TRAINING CERTIFICATE ON SITE. INSTRUCTED ALL CERTIFIED FOOD MANAGERS MUST TAKE ALLERGEN COURSE AND MAINTAIN RECORDS ON SITE.	41.85364982727399	-87.62695608899325	(41.85364982727399, -87.62695608899325)
2612125	LURE FISHBAR CHICAGO	LURE FISHBAR	2718512.0	Restaurant	Risk 1 (High)	616 N RUSH ST	CHICAGO	IL	60611.0	2025-02-11	Canvass	Pass	55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING AND DAMAGED FLOOR TILES IN ENTIRE REAR PREP/ DISH AREA AND THE HALL TOWARDS TOILET ROOMS. NOTED DISH AREA AND REAR PREP FLOOR GROUT IS NEEDED.  INSTRUCTED TO REPAIR TO CREATE A SMOOTH AND EASILY CLEANABLE SURFACE. MUST MAINTAIN AT ALL TIMES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CHIPPED PAINT ON THE WALLS IN THE KITCHEN AND SUSHI AREA. INSTRUCTED TO RESURFACE AND REPAINT CHIPPED AREAS TO ENSURE WALLS ARE SEALED, SMOOTH AND EASILY CLEANABLE.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED IN DISH AREA 3 COMPARMENT SINK, THE 3RD BASIN NOT HOLDING WATER WITH STOPPER. NOTED 1 COMPARMENT SINK IN REAR BEVERAGE STATION LEAKING FROM DRAINPIPE. INSTRUCTED TO REPAIR AND MAINTAIN.	41.89313081087328	-87.62555906428202	(41.89313081087328, -87.62555906428202)
