Restaurant Name	Inspection Type	Inspection Date	Inspection Score	Street Number	Street Name	Street Direction	Street Type	Street Unit	Street Address	Zip Code	Violation Description - 1	Violation Points - 1	Violation Detail - 1	Violation Memo - 1	Violation Description - 2	Violation Points - 2	Violation Detail - 2	Violation Memo - 2	Violation Description - 3	Violation Points - 3	Violation Detail - 3	Violation Memo - 3	Violation Description - 4	Violation Points - 4	Violation Detail - 4	Violation Memo - 4	Violation Description - 5	Violation Points - 5	Violation Detail - 5	Violation Memo - 5	Violation Description - 6	Violation Points - 6	Violation Detail - 6	Violation Memo - 6	Violation Description - 7	Violation Points - 7	Violation Detail - 7	Violation Memo - 7	Violation Description - 8	Violation Points - 8	Violation Detail - 8	Violation Memo - 8	Violation Description - 9	Violation Points - 9	Violation Detail - 9	Violation Memo - 9	Violation Description - 10	Violation Points - 10	Violation Detail - 10	Violation Memo - 10	Violation Description - 11	Violation Points - 11	Violation Detail - 11	Violation Memo - 11	Violation Description - 12	Violation Points - 12	Violation Detail - 12	Violation Memo - 12	Violation Description - 13	Violation Points - 13	Violation Detail - 13	Violation Memo - 13	Violation Description - 14	Violation Points - 14	Violation Detail - 14	Violation Memo - 14	Violation Description - 15	Violation Points - 15	Violation Detail - 15	Violation Memo - 15	Violation Description - 16	Violation Points - 16	Violation Detail - 16	Violation Memo - 16	Violation Description - 17	Violation Points - 17	Violation Detail - 17	Violation Memo - 17	Violation Description - 18	Violation Points - 18	Violation Detail - 18	Violation Memo - 18	Violation Description - 19	Violation Points - 19	Violation Detail - 19	Violation Memo - 19	Violation Description - 20	Violation Points - 20	Violation Detail - 20	Violation  Memo - 20	Violation Description - 21	Violation Points - 21	Violation Detail - 21	Violation Memo - 21	Violation Description - 22	Violation Points - 22	Violation Detail - 22	Violation Memo - 22	Violation Description - 23	Violation Points - 23	Violation Detail - 23	Violation Memo - 23	Violation Description - 24	Violation Points - 24	Violation Detail - 24	Violation Memo - 24	Violation Description - 25	Violation Points - 25	Violation Detail - 25	Violation Memo - 25	Inspection Month	Inspection Year	Lat Long Location
WENDY'S #79710	Routine	2024-01-08	97	510	BECKLEY	S	AVE		510 S BECKLEY AVE	75203-2644	*24 Food Labeling- with common name of the food	2.0	228.79  Food.          Labeling.          (a) Food labels.          (2) Label information shall include:          (A) the common name of the food, or absent a common name, an adequately descriptive identity statement;	Label ketchup/condiment dispensers in lobby for customer self service	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	Clean wire racks in walk-in cooler																																																																																													Jan 2024	FY2024	510 S BECKLEY AVE
GOLD CLUB BAR	Routine	2024-02-28	100	10601	PLANO		RD		10601 PLANO RD	75238																																																																																																					Feb 2024	FY2024	10601 PLANO RD
LA VICTORIA ADULT DAY CARE CENTER #12	Routine	2024-01-02	93	2902	BUCKNER	S	BLVD	#300	2902 S BUCKNER BLVD #300	75227	*32 Equipment and Utensils Durability and Strength	2.0	228.103  Equipment, Utensils, and Linens.          Durability and strength.          (a) Equipment and utensils.  Equipment and utensils shall be designed and constructed to be durable and to retain their characteristic qualities under normal use conditions.	provide commercial cooler/freezer for customer food	*34 Outer openings:closing holes, gaps	1.0	228.174  Physical Facilities.          Functionality.          (e) Outer openings, protected.          (1) Except as specified in paragraphs (2) - (5) of this subsection, outer openings of a food establishment shall be protected against the entry of insects and rodents by:          (A) filling or closing holes and other gaps along floors, walls and ceilings;	repair gap at entrance door	*28 Date marking > 24 hrs,on site,temp 41F	2.0	228.75  Food.          Time and temperature control.          (g) Ready-to-eat, TCS food, date marking.  (2) Except as specified in paragraphs (5) - (7) of this subsection, refrigerated, ready-to-eat, time/temperature controlled for safety food prepared and packaged by a food processing plant shall be clearly marked, at the time the original container is opened in a food establishment and held at a temperature of 41 degrees Fahrenheit (5 degrees Celsius) or less if the food is held for more than 24 hours, to indicate the date or day by which the food shall be consumed on the premises, sold, or discarded, based on the temperature and time combinations specified in paragraph (1) of this subsection:        (A) the day the original container is opened in the food establishment shall be counted as day 1;  and	clearly date mark tcs food for 7 days	*47 Health permit posted	1.0	SEC. 17-10.2.     ADDITIONAL REQUIREMENTS.  (c)     Permits.   (11)     Display.  A food establishment that operates from a fixed facility shall display its permit in a frame with a glass cover at a prominent place inside the facility where it can be easily seen by the public.	change name of establishment on health permit	*46 Enclosed toilet room w/self closing doors	1.0	228.174  Physical Facilities.          Functionality.           (d) A toilet room located on the premises shall be completely enclosed and provided with a tight-fitting and self-closing door except that this requirement does not apply to a toilet room that is located outside a food establishment and does not open directly into the food establishment such as a toilet room that is provided by the management of a shopping mall.	restroom door shall be closed																																																																																	Jan 2024	FY2024	2902 S BUCKNER BLVD #300
MCALISTER'S DELI	Routine	2024-02-27	99	6186	RETAIL		RD	#200	6186 RETAIL RD #200	75039	*39 Store all equipment & utensil covered or inverted	1.0	228.124  Equipment, Utensils, and Linens.          Storage.          (a) Equipment, utensils, linens, and single-service and single-use articles.         (2) Clean equipment and utensils shall be stored as specified under paragraph (1) of this subsection and shall be stored:          (B) covered or inverted.	Invert to go containers.																																																																																																	Feb 2024	FY2024	6186 RETAIL RD #200
KILO'S PECANS	Routine	2024-01-08	82	9334	RL THRONTON	E	FRWY	#L-4	9334 E RL THRONTON FRWY #L-4	75228	*39 Store  equipment & utensils - avoid contamination	1.0	228.124  Equipment, Utensils, and Linens.          Storage.          (a) Equipment, utensils, linens, and single-service and single-use articles.          (1) Except as specified in paragraph (4) of this subsection, cleaned equipment and utensils, laundered linens, and single-service and single-use articles shall be stored:           (B) where they are not exposed to splash, dust, or other contamination; and	utensils should not be in mop sink	*33 Service sink or one curbed cleaning facility provided	2.0	228.147  Water, Plumbing, and Waste.          Plumbing, numbers and capacities.          (c) Service sink.                                (1) At least one service sink or one curbed cleaning facility equipped with a floor drain shall be provided and conveniently located for the cleaning of mops or similar wet floor cleaning tools and for the disposal of mop water and similar liquid waste.	items can not be placed in mop sink	*24 Food Label- manufacture/packer/distrubtor name	2.0	228.79  Food.          Labeling.          (a) Food labels.         (2) Label information shall include:         (D) the name and place of business of the manufacturer, packer, or distributor; and	seeds	*10 Chlorine sanitizer concentration, minimum temp.	3.0	228.111  Equipment, Utensils, and Linens.          Equipment, maintenance and operation.          (n) Manual and mechanical warewashing equipment, chemical sanitization - temperature, pH, concentration, and hardness.  A chemical sanitizer used in a sanitizing solution for a manual or mechanical operation at contact times specified in õ228.118(3) of this title shall meet the criteria in õ228.206(a) of this title, shall be used in accordance with the EPA-approved manufacturer's label use instructions, and shall be used as follows:          (1) a chlorine solution shall have a minimum temperature based on the concentration and pH of the solution as listed in the following chart: Figure: 25 TAC õ228.111(n)(1)	no sanitizer 0 ppm chlorine	*22 Accredited food handler certificate - 60 days	2.0	õ228.33. Certified Food Protection Manager and Food Handler Requirements  (d) Except in a temporary food establishment and the certified food manager, all food employees shall successfully complete an accredited food handler training course, within 60 days of employment.	co worker has no food handler	*28 Date marking > 24 hrs,on site,temp 41F	2.0	228.75  Food.          Time and temperature control.          (g) Ready-to-eat, TCS food, date marking.  (2) Except as specified in paragraphs (5) - (7) of this subsection, refrigerated, ready-to-eat, time/temperature controlled for safety food prepared and packaged by a food processing plant shall be clearly marked, at the time the original container is opened in a food establishment and held at a temperature of 41 degrees Fahrenheit (5 degrees Celsius) or less if the food is held for more than 24 hours, to indicate the date or day by which the food shall be consumed on the premises, sold, or discarded, based on the temperature and time combinations specified in paragraph (1) of this subsection:        (A) the day the original container is opened in the food establishment shall be counted as day 1;  and	no date marking on items in ric	*47 Conditions of Permit-in use of food equipment	1.0	228.248 Compliance           Conditions of retention, responsibilities of the permit holder.                          Upon acceptance of the permit issued by the regulatory authority, the permit holder in order to retain the permit shall:          (11) Notify customers that a copy of the most recent establishment inspection report is available upon request by posting a sign or placard in a location in the food establishment that is conspicuous to customers or by another method acceptable to the regulatory authority.	provide sign about inspection report	*36 Containers of chemical sanitizing solutions stored off the floor and used in a manner that preve	1.0	228.68  Food.          Preventing Contamination From Equipment, Utensils, and Linens.         (d) Wiping cloths, use limitation.  (5) containers of chemical sanitizing solutions specified in paragraph (2)(A) of this subsection in which wet wiping cloths are held between uses shall be stored off the floor and used in a manner that prevents contamination of food, equipment, utensils, linens, single-service, or single-use articles. .	sanitizer bucket sit on floor	*14 When to wash hands between raw and RTE foods	3.0	228.38  Management and Personnel.          (d) When to wash. Food employees shall clean their hands and exposed portions of their arms as specified in subsection (b) of this section immediately before engaging in food preparation including working with exposed food, clean equipment and utensils, and unwrapped single-service and single-use articles  and:     (7) when switching between working with raw food and working with ready-to eat food;	did not wash hands after touching raw chicken	*37 Storing the food at least 15 cm (6 inches) above the floor	1.0	228.69  Food.          Preventing contamination from the premises.          (a) Food Storage.          (1) Except as specified in paragraphs (2) and (3) of this subsection, food shall be protected from contamination by storing the food:                     (C)    at least 15 centimeters (6 inches) above the floor.	food needs to be 6 inches above ground																																																													Jan 2024	FY2024	9334 E RL THRONTON FRWY #L-4
CHURCH'S CHICKEN	Routine	2024-01-13	97	10201	C F HAWN		FRWY		10201 C F HAWN FRWY	75217	*29 Food thermometers provided and accessible	2.0	228.108  Equipment, Utensils, and Linens.          Utensils, temperature measuring devices, and testing devices.          (b) Food temperature measuring devices.   Food temperature measuring devices shall be provided readily accessible for use in ensuring attainment and maintenance of food temperatures as specified under Subchapter C of this chapter (relating to Food).	Thermometer in the walk in cooler is not reading properly	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	clean ice machine air filter																																																																																													Jan 2024	FY2024	10201 C F HAWN FRWY
MCDONALDS	Routine	2024-01-16	98	125	CAMP WISDOM	W	RD		125 W CAMP WISDOM RD	75232	*32 Equipment & Utensils smooth easily cleanable	2.0	228.101  Equipment, Utensils, and Linens.          Multiuse materials.          (a) Characteristics.  Materials that are used in the construction of utensils and food-contact surfaces of equipment may not allow the migration of deleterious substances or impart colors, odors, or tastes to food and under normal use conditions shall be:          (4) finished to have a smooth, easily cleanable surface; and	Replace torn gasket in coffee station																																																																																																	Jan 2024	FY2024	"125 W CAMP WISDOM RD
(32.662836999, -96.824488024)"
EL RANCHO #14-PALAPA	Routine	2024-01-08	95	14211	COIT		RD		14211 COIT RD	75254	*10 Q.A. PPM -  follow manufacturer's direction	3.0	228.111  Equipment, Utensils, and Linens.          Equipment, maintenance and operation.          (n) Manual and mechanical warewashing equipment, chemical sanitization temperature, pH, concentration, and hardness. A chemical sanitizer used in a sanitizing solution for a manual or mechanical operation at contact times specified in õ228.118(3) of this title shall meet the criteria in õ228.206(a) of this title, shall be used in accordance with the EPA-approved manufacturer's label use instructions,P  and shall be used as follows:          (3) a quaternary ammonium compound solution shall:          (B) have a concentration as specified under õ228.206 of this title (relating to Chemicals) and as indicated by the manufacturer's use directions included in the labeling;  and	Maintain sanitizer at 200 ppm QA	*39 Keep utensils handles upright or protected	1.0	228.125  Preventing Contamination.          (a) Kitchenware and tableware.         (2) Knives, forks, and spoons that are not prewrapped shall be presented so that only the handles are touched by employees and by consumers if consumer self-service is provided.	Do not allow ice scoop handle to contact ice.	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	Clean WIC compressor vents and cooler gaskets.																																																																																									Jan 2024	FY2024	"14211 COIT RD
(42.890052771, -78.843038285)"
YOGI'S SUSHI OF SPORTS	Routine	2024-01-19	94	9440	GARLAND		RD	#130	9440 GARLAND RD #130	75218	*09  Food protected cross contamination arrange each type food in equipment so cross is prevented	3.0	228.66  Food.          Preventing food and ingredient contamination.          (a) Packaged and unpackaged food - separation, packaging, and segregation.          (1) Food shall be protected from cross contamination by:          (B) except when combined as ingredients, separating types of raw animal foods from each other such as beef, fish, lamb, pork, and poultry during storage, preparation, holding, and display by:          (ii) arranging each type of food in equipment so that cross contamination of one type with another is prevented; and	raw eggs on bottom shelf of cooler	*31 Handwashing lavatory - allow convenient	2.0	228.148  Water, Plumbing, and Waste.          Plumbing, location and placement.          (a) Handwashing facility.  Handwashing facilities shall be located:                (1) to allow convenient use by employees in food preparation, food dispensing, and warewashing areas; and	hand sink at sushi bar	*47 Handwashing signage	1.0	228.175  Physical Facilities.          Handwashing Sinks.          (e) Handwashing signage. A sign or poster that notifies food employees to wash their hands shall be provided at all handwashing sinks used by food employees and shall be clearly visible to food employees.	need hand washing signs at hand sinks																																																																																									Jan 2024	FY2024	9440 GARLAND RD #130
DOMINO'S PIZZA #6916	Routine	2024-02-21	92	3312	BUCKNER	N	BLVD		3312 N BUCKNER BLVD	75228	*21 RFSM - Not On Site	2.0	Sec. 17-2.2(c)(1)(D)      (c) Registered food service managers. (1) Registered food service managers required.    (D) A food establishment shall have one registered food service manager employed and present in the establishment during all hours of operation, except that a registered food service manager serving multiple food establishments as authorized by Section 17-2.2(c)(1)(C) must only be present in the building in which the food establishment is located during all hours of operation.	RFSM not on site	*18 Toxic items labeling-non original container	3.0	228.202  Poisonous or Toxic Materials.            Working containers, common name.  Working containers used for storing poisonous or toxic materials such as cleaners and sanitizers taken from bulk supplies shall be clearly and individually identified with the common name of the material.	spray bottle in  bucket not properly identified, shall label content	*19 Water &  Plumbing in good repair- per code	3.0	228.149  Water, Plumbing, and Waste.          Plumbing, operation and maintenance.          (e) System maintained in good repair.  A plumbing system shall be:          (1) repaired according to the Plumbing Code;  and	3 comp sink observed a leak from bottom side																																																																																									Feb 2024	FY2024	3312 N BUCKNER BLVD
FLAMING BURGER	Routine	2024-01-25	98	11255	GARLAND		RD	101A	11255 GARLAND RD STE# 101A	75218	*32 Smooth Contact Surfaces	2.0	228.104  Equipment, Utensils, and Linens.          Cleanability.          (a) Food-contact surfaces.  Multi use food-contact surfaces shall be:          (1) smooth;	clean inside reach in coolers																																																																																																	Jan 2024	FY2024	11255 GARLAND RD STE# 101A
CULTIVAR COFFEE	Routine	2024-02-21	98	1155	PEAVY		RD		1155 PEAVY RD	75218	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	clean gaskets on RIC	*41 Food storage containers, identified with common name of food.	1.0	228.66  Food.          Preventing food and ingredient contamination.          (b) Food storage containers, identified with common name of food. Except for containers holding food that can be readily and unmistakably recognized such as dry pasta, working containers holding food or food ingredients that are removed from their original packages for use in the food establishment, such as cooking oils, flour, herbs, potato flakes, salt, spices, and sugar shall be identified with the common name of the food.	label bulk items (sugar/ chocolate)																																																																																													Feb 2024	FY2024	1155 PEAVY RD
PRESBYTERIAN VILLAGE WELLNESS CENTER	Routine	2024-02-05	100	8730	WESTMINSTER				8730 WESTMINSTER	75243																																																																																																					Feb 2024	FY2024	"8730 WESTMINSTER
(39.86347, -105.05001)"
DISTRICT 9 DRAUGHT HAUS	Routine	2024-01-31	99	718	BUCKNER	N	BLVD	#215	718 N BUCKNER BLVD #215	75218	*36 Cloths in-use for wiping between uses stored	1.0	228.68  Food.          Preventing Contamination From Equipment, Utensils, and Linens.         (d) Wiping cloths, use limitation.          (2) cloths in-use for wiping counters and other equipment surfaces shall be:         (A) held between uses in a chemical sanitizer solution at a concentration specified in õ228.111(n) of this title; and	Observed soiled wiping cloths sitting on cutting board																																																																																																	Jan 2024	FY2024	718 N BUCKNER BLVD #215
CHICK-FIL-A AT HAMPTON & I-20 FSR	Routine	2024-01-18	98	2429	WHEATLAND	W	RD		2429 W WHEATLAND RD	75237	*29 Cold/hot hold unit thermometer easily viewable	2.0	228.106  Equipment, Utensils, and Linens.          Functionality of equipment.          (l) Temperature measuring devices.         (2) Except as specified in paragraph (3) of this subsection, cold or hot holding equipment used for time/temperature control for safety (TCS) food shall be designed to include and shall be equipped with at least one integral or permanently affixed temperature measuring device that is located to allow easy viewing of the device's temperature display.	keep RIC with a thermometer at all times- observed drink RIC without thermometer																																																																																																	Jan 2024	FY2024	2429 W WHEATLAND RD
POPUSERIA LA PASADITA #2	Routine	2024-01-26	95	2349	LAKELAND		DR		2349 LAKELAND DR	75228	*10 A chemical sanitizer used: contact times criteria	3.0	228.111  Equipment, Utensils, and Linens.          Equipment, maintenance and operation.          (n) Manual and mechanical warewashing equipment, chemical sanitization temperature, pH, concentration, and hardness. A chemical sanitizer used in a sanitizing solution for a manual or mechanical operation at contact times specified in õ228.118(3) of this title shall meet the criteria in õ228.206(a) of this title, shall be used in accordance with the EPA-approved manufacturer's label use instructions,P  and shall be used as follows:          (4) if another solution of a chemical specified under paragraphs (1) - (3) of this subsection is used, the permit holder shall demonstrate to the regulatory authority that the solution achieves sanitization and the use of the solution shall be approved;  or		*32 Maintain in Good Repair	2.0	228.223 REQUIREMENTS APPLICABLE TO CERTAIN ESTABLISHMENTS      Bed and Breakfast .          (h) Equipment and utensil design and construction. All equipment and utensils shall be constructed of safe materials and maintained in good repair.	CLEAN INSIDE OF REACH IN COOLERS																																																																																													Jan 2024	FY2024	2349 LAKELAND DR
WENDY'S #12070	Routine	2024-01-11	99	5555	JIM MILLER	N	RD		5555 N JIM MILLER RD	75228-7010	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	clean gaskets around cooler doors, shelves																																																																																																	Jan 2024	FY2024	"5555 N JIM MILLER RD
(32.792261002, -96.700544989)"
PILOT TRAVEL CENTER	Routine	2024-01-12	97	8787	LANCASTER	S	RD		8787 S LANCASTER RD	75241	*32 Maintain in Good Repair	2.0	228.223 REQUIREMENTS APPLICABLE TO CERTAIN ESTABLISHMENTS      Bed and Breakfast .          (h) Equipment and utensil design and construction. All equipment and utensils shall be constructed of safe materials and maintained in good repair.	observed soiled microwave ; observed syrup under fruit cocktails cans in shelf	*47 Other Violations	1.0		display current inspection report or post sign stating its available																																																																																													Jan 2024	FY2024	8787 S LANCASTER RD
